product_type,weight,battery,screen_size,ram,storage,composition
Laptop,1250,1900,10.345621765727431,42,83,27.502507632163876
Desktop Computer,4764,2464,14.23871269317056,57,372,14.497802517605818
Laptop,5040,683,16.32983595968833,61,247,99.74860491163383
Desktop Computer,3944,721,8.20022377790031,48,310,4.321607399129612
Tablet,7964,569,9.091169126583793,52,503,16.818937831663117
Tablet,3919,3939,9.302779191111888,15,183,6.69865273311967
Mobile Phone,3029,4346,15.003108611200073,36,133,47.08972414268795
Mobile Phone,2508,4409,10.01802229066665,3,9,58.382261826506664
Tablet,6656,1536,14.06918132301243,58,67,82.87565795077971
Desktop Computer,1608,1562,13.514086987409621,47,412,79.86793447594151
Laptop,5502,3201,8.719611952815544,48,127,35.815558588375914
Laptop,4456,333,8.327076431693342,52,188,78.49507555938278
Desktop Computer,2947,523,6.559912217468598,8,276,63.708998537397754
Tablet,8290,2855,19.0768542710625,28,275,68.52340785332397
Laptop,9155,446,7.034257007529773,22,91,18.459281776770563
Laptop,7100,2544,10.677121217088072,12,201,82.2589498783882
Desktop Computer,9743,827,4.29286087261479,35,148,63.400490702327204
Laptop,895,151,12.20766079288122,48,43,9.683539487934812
Laptop,8764,102,6.674803766198455,51,219,74.49822898676103
Tablet,533,4615,14.009629703615023,50,150,87.77255564326137
Tablet,6185,3534,13.94021036153047,19,204,86.06913644319934
Laptop,617,1276,11.956134686548268,31,490,1.174530660996409
Desktop Computer,8318,1050,17.138516017761937,57,494,81.82672378925724
Laptop,2376,2747,6.533280097689406,64,214,1.505829876638376
Mobile Phone,9389,172,6.937693131273852,43,89,7.0761561465501615
Mobile Phone,5051,2156,13.575787270661944,9,205,80.42744187697444
Laptop,6189,98,14.201832069189285,39,134,59.500139291357726
Laptop,8732,2602,10.742858122064902,16,284,85.65969904415611
Mobile Phone,6982,371,7.037455818717958,13,156,82.11089439625964
Desktop Computer,3274,1751,11.734943069472678,44,304,2.2888142810634893
Mobile Phone,440,1192,17.37957907159752,29,361,87.79372898822515
Tablet,7189,1743,14.50279188491758,53,405,53.711397711637964
Desktop Computer,5325,1492,14.194962525115756,1,398,5.123650552472836
Tablet,2612,92,9.93223263171495,41,152,81.15386184722924
Desktop Computer,4774,1888,5.562106879054264,64,485,45.753577792590036
Laptop,8977,2336,8.947249009571856,9,336,2.580720353903887
Tablet,7294,4679,17.66741336428735,44,463,15.543865227194209
Laptop,7781,4666,13.935578540548004,20,219,67.53278681550556
Desktop Computer,5764,4835,11.022860473274939,64,280,15.550558313622586
Laptop,3683,219,5.328051058075498,19,109,1.239774336495203
Laptop,1585,1184,9.333899504195612,58,312,66.71803419682715
Tablet,8982,1653,18.20667374324018,16,270,59.35052923052909
Tablet,3221,719,13.825670152740184,55,308,89.22698577414323
Tablet,9700,782,10.413722566011426,36,160,30.28413687062845
Laptop,8231,1866,5.672211745540903,47,38,94.70928297086749
Tablet,4241,3300,7.698500899505698,34,267,23.41961317145771
Desktop Computer,443,4804,11.438990827303346,15,125,70.15906244469996
Laptop,7693,304,15.521990514106733,33,484,11.431852280257537
Mobile Phone,4362,2830,8.124493416186922,21,224,15.878498295022482
Laptop,4198,3326,10.287271989944692,41,24,0.3969611192115696
Desktop Computer,889,4441,18.640235753437075,36,299,88.79116768028156
Laptop,9434,1055,15.721766169663681,64,67,14.139728299882536
Desktop Computer,3112,2250,15.00069328849983,59,209,86.73652403930312
Mobile Phone,9098,3435,12.065180376066156,45,474,54.796870379013285
Tablet,9486,2068,17.030385346128465,22,504,32.964411518547564
Laptop,758,2704,5.016881680812185,42,485,50.52091490061831
Tablet,4376,1058,15.763767966843258,33,442,70.82602746046106
Desktop Computer,9871,3151,11.436245193805737,33,177,57.94606583129844
Desktop Computer,6636,1552,15.1609739642671,56,66,67.99773927751276
Mobile Phone,3016,1210,11.556608582530592,31,55,41.83893030098883
Laptop,3265,633,6.9414539573285845,20,220,90.82408594483206
Laptop,9318,1312,6.314448176992135,14,339,55.54530520587101
Laptop,9525,2979,12.041445054138032,48,427,52.39742697496259
Laptop,7677,49,13.0955501866704,17,33,20.98024629162388
Tablet,511,1583,10.896824336967239,45,482,61.19039283063144
Laptop,6655,564,4.1474932821248185,34,429,62.14827258973955
Desktop Computer,2260,430,9.529360812778094,49,337,68.3501786759195
Laptop,2395,2730,14.8222360371721,41,294,17.359212492326392
Tablet,6606,719,18.177111525781427,43,45,49.501482790047746
Mobile Phone,2792,3401,10.934528505734507,31,457,52.94460641363925
Tablet,8816,925,9.295768177616628,53,367,24.58351017873265
Mobile Phone,5621,1336,6.3428373997796,1,496,0.3266594653082544
Mobile Phone,4625,4793,4.489574628696265,41,451,76.69608629172478
Mobile Phone,9742,3993,9.34645580604599,31,129,49.39484764382877
Desktop Computer,4208,1349,17.425236753804658,10,49,92.287231686213
Tablet,6592,4384,6.533514562632256,21,367,41.47480880144697
Mobile Phone,4171,544,5.444805736320041,52,60,70.96654684366644
Tablet,6137,513,12.110865102305654,48,104,50.18212938940917
Laptop,139,4092,11.698330278255796,14,113,25.417853254965838
Laptop,6833,2893,7.92093630964566,62,390,4.399591609925491
Laptop,5900,3477,9.103734723416396,13,66,14.813550633802752
Desktop Computer,8432,2280,18.982581225963525,48,90,13.274398920592823
Mobile Phone,3860,4509,18.499906275412215,6,447,60.50547028383695
Desktop Computer,3187,3676,19.697181821654336,2,507,67.15264975324806
Mobile Phone,1503,1392,5.708755923750432,38,32,64.08639322788515
Laptop,2017,3472,4.530726722974,6,65,54.98001457973505
Laptop,8602,4493,15.28907150505849,54,44,99.44132027564687
Tablet,4203,4998,5.925982247653717,34,380,95.6069274759051
Desktop Computer,3806,1783,6.671666692781384,19,202,54.05743666452438
Laptop,698,2101,10.906712020845628,4,338,52.068898553741704
Tablet,6144,793,18.97808708366516,34,357,82.25469904967129
Laptop,2273,4336,5.68127220068643,22,438,86.3086450746501
Laptop,9891,843,12.350276781090534,22,153,66.06430830422536
Desktop Computer,4740,2498,15.962148944502273,42,121,3.430657877708432
Laptop,1869,2007,8.953114736330908,3,342,40.15654111045899
Tablet,6847,428,6.454281820436121,36,168,89.16878504452424
Laptop,8791,2832,10.178939170360001,57,491,33.580184609597666
Desktop Computer,1021,986,4.012032055929865,39,245,17.606140886985788
Desktop Computer,5384,972,14.775525964716408,11,458,7.296228553710538
Mobile Phone,4533,3881,5.017285251530897,62,131,18.994785210529976
Tablet,7949,567,10.103668404790279,40,101,14.426804421502348
Laptop,7956,2783,14.512610860510943,46,259,50.795242874930565
Tablet,4917,1917,14.531792983462127,37,171,51.77752965671497
Desktop Computer,3785,150,10.831899051225076,37,141,79.22310087090062
Mobile Phone,2057,4428,3.037608529064596,17,121,91.70933926799867
Desktop Computer,4906,37,10.58137608431738,25,197,67.93130364742723
Desktop Computer,6458,860,10.134380150120185,28,124,27.595186929608673
Mobile Phone,7106,741,12.195871376860495,37,502,46.10817952025222
Mobile Phone,6734,2918,14.856765424794807,42,119,89.02503455292515
Laptop,8132,4291,15.805714042005956,36,282,58.610235792673194
Desktop Computer,6671,164,13.294718837585263,34,233,39.795671282178965
Tablet,2248,1052,11.823788383390474,49,145,94.6676625512349
Mobile Phone,243,3279,6.081908042556211,15,360,30.85246555040355
Desktop Computer,4132,1716,8.265481007350546,58,427,20.31978743820977
Mobile Phone,6968,2381,6.3325846040556995,58,171,87.55041070911211
Laptop,8790,4612,17.619506915784143,29,475,86.21809522008246
Desktop Computer,3766,3287,8.127594587456947,56,478,44.15387242323362
Desktop Computer,935,3289,14.131757921746342,41,138,3.893062944438408
Tablet,8975,3756,14.874051907825248,13,342,60.099651645709564
Laptop,4433,2019,14.338764389849615,34,347,96.96316643959575
Desktop Computer,4106,2726,14.005727547749352,18,165,70.58799929352007
Desktop Computer,7834,863,15.95364336994785,56,511,85.25367834369996
Tablet,2105,4371,4.237707047149026,32,62,88.90768495816019
Desktop Computer,4248,3297,12.319477244788615,25,309,53.31271866233185
Tablet,659,2052,9.538086521141038,55,370,72.89325743395445
Mobile Phone,2251,4399,8.601337744392472,39,52,72.25200196557329
Laptop,2423,3458,6.489188030164813,4,405,25.76016379923499
Tablet,8644,4319,5.6343795712345734,39,174,97.49500238799689
Mobile Phone,8063,660,10.286383107108692,7,390,85.34403047152264
Mobile Phone,5248,3711,11.481527826655178,43,501,0.12150256052372299
Tablet,8543,4109,7.633419989357764,18,323,56.085183799608316
Tablet,9953,2010,8.477938911075778,20,18,34.70309761227934
Tablet,7373,3157,19.260737354091738,15,424,95.04448229564433
Desktop Computer,4775,1631,16.62210586058967,16,62,59.61193432658277
Mobile Phone,4938,2841,16.55729782868036,4,278,57.09134222970502
Desktop Computer,1052,4738,10.74905051404512,9,378,98.70923173178397
Mobile Phone,3766,1823,19.56423367438944,16,167,23.67464951033712
Desktop Computer,2994,3787,16.641829846027644,58,175,70.43347558071848
Tablet,1179,1086,6.552970122046414,42,443,52.096733863941935
Mobile Phone,3714,2297,9.684939281804489,56,282,80.78004262736441
Desktop Computer,5825,1312,16.25263606546954,51,480,81.13538801099189
Laptop,2658,1571,4.271622834557251,36,465,8.066702484721123
Mobile Phone,9981,2871,3.160288286551313,10,501,8.61744065665645
Laptop,8442,2507,14.453669204196249,47,345,14.95151516138754
Desktop Computer,2442,1314,9.56139148004911,33,264,97.5293771948502
Desktop Computer,6897,1889,10.855142491206966,53,505,7.737185785808798
Desktop Computer,9162,3066,3.1907560727179036,46,209,31.3302801476535
Mobile Phone,9933,1629,15.18928202035772,12,447,47.48345825434982
Laptop,8015,2489,15.171718478520797,1,107,85.02552436109656
Laptop,880,1132,14.680768534563365,51,426,31.44887550287242
Laptop,241,110,18.99711122876686,7,102,57.18729535994218
Tablet,6274,2652,4.841436760911624,49,14,28.807956213453657
Mobile Phone,8378,952,8.996320458412477,27,185,30.157427291592164
Laptop,1810,570,4.5680687291904345,15,258,59.58740377202753
Desktop Computer,6841,2822,8.83539522577977,18,344,2.745783864728768
Desktop Computer,4978,4100,11.268449067462182,48,422,86.35729342748355
Mobile Phone,6588,129,5.8199598929150715,51,424,0.10051746679596851
Tablet,8538,1963,12.894612997084582,58,139,80.47132837243896
Desktop Computer,4394,933,4.565554587964431,44,284,90.72662359702119
Desktop Computer,1407,1838,11.814915548563777,28,21,2.084031307345946
Mobile Phone,2656,644,15.370560777235417,19,511,94.8659946647576
Desktop Computer,9681,4567,10.010335547156973,1,74,56.67048643337892
Desktop Computer,8066,3930,10.57927824023136,30,376,37.327830734370174
Desktop Computer,2343,2829,19.80211115680695,45,351,59.41169353327058
Laptop,8001,1140,11.786613502224476,27,147,51.5861595484323
Mobile Phone,5920,4175,14.640711498933161,40,367,1.1157580949617052
Laptop,5108,1925,19.647293468513293,42,502,72.99019718885413
Desktop Computer,1298,3554,7.753925057043478,55,74,54.08329930546143
Desktop Computer,6873,3524,8.449819831384008,28,168,30.87202059622509
Laptop,1008,335,9.370975981939205,18,76,88.6639682536688
Laptop,3806,750,5.8249139488321715,51,390,18.27701786755376
Desktop Computer,4394,3749,5.664715988218306,4,163,68.93589668866254
Desktop Computer,646,1620,15.834799422109224,18,171,4.674981140062107
Mobile Phone,4259,1355,16.094443588474,15,387,67.77026998467987
Laptop,4389,2117,3.50286474596922,56,217,31.79164545135995
Laptop,821,763,4.448328621950939,6,352,33.39123614414382
Desktop Computer,7599,1377,19.806089638824506,12,44,28.86216835262163
Tablet,8390,506,6.792964165590287,39,196,99.42083948006514
Desktop Computer,5812,2614,19.496049355984393,22,80,65.70926476875626
Desktop Computer,6678,1148,19.922819810715964,29,310,8.306896454152957
Laptop,5468,116,7.845609200327164,51,317,2.6686626132787494
Tablet,3118,4201,6.441127890497551,3,81,83.61724558386481
Laptop,3827,1103,10.209095830928685,64,262,85.60380798293994
Mobile Phone,5058,1114,17.383445028703644,6,176,17.664026171857948
Desktop Computer,2157,3749,4.285026323374618,19,196,71.434738320747
Mobile Phone,6028,3872,7.47483434930731,15,11,54.39708183050668
Mobile Phone,4650,1146,9.85164858371859,31,308,98.25060989628145
Tablet,8175,3700,3.0248229307484156,41,17,89.11610919226679
Mobile Phone,1060,4039,9.31478514267139,12,145,20.105999073863444
Desktop Computer,5255,849,5.957697319338766,35,226,31.420789406939242
Desktop Computer,6969,886,19.528903825410335,45,457,90.39031040490445
Mobile Phone,7781,288,12.482814945949212,56,283,46.41447525866844
Mobile Phone,8365,1966,4.66260220304682,11,317,21.45271956196596
Mobile Phone,6845,683,8.664123385982858,32,59,91.98502010765242
Desktop Computer,6098,1641,7.002896453563293,29,266,32.634369271555755
Laptop,2168,1791,17.630784504108867,46,377,92.35501060527362
Tablet,7590,104,10.743232201316612,31,389,83.11502001689661
Desktop Computer,9343,3826,5.390401793508788,10,17,51.45482929331715
Laptop,7151,4145,19.425913950679785,36,416,28.526334217067074
Mobile Phone,4241,289,6.382087072194531,53,144,67.78084782292464
Laptop,139,2413,12.048926436740777,27,231,94.02714714765892
Desktop Computer,2000,1267,14.377778217128856,9,196,81.36569169230434
Tablet,6882,35,14.913726953336264,53,204,36.295438026039086
Tablet,9380,1185,15.958953721414712,17,121,30.79293217232202
Mobile Phone,8457,4988,15.821135282382182,55,199,57.285301816581324
Tablet,1469,1637,10.463119388764692,8,488,44.69721218861549
Tablet,6087,2699,15.906391202076067,35,16,67.2533195274465
Tablet,6532,1343,14.255716693836535,29,144,16.18731476147518
Mobile Phone,1323,4196,9.427845210474313,9,373,87.79381644451125
Mobile Phone,6708,196,17.275899800708366,3,49,71.26345710858538
Tablet,7188,4576,8.884222843069153,22,14,97.59135949494005
Mobile Phone,3431,1094,19.05282544401471,7,68,41.20858396187028
Mobile Phone,9196,846,8.010909172826292,19,319,74.1472410702644
Desktop Computer,3105,4851,15.306186308226135,34,482,77.68376907439381
Desktop Computer,6523,473,15.460665883735963,3,97,6.988335868491891
Mobile Phone,8059,2249,3.568257509190074,11,33,42.61306140407222
Tablet,9017,916,11.482636279324263,32,392,43.3908763220784
Laptop,778,1629,7.237706394530029,22,234,29.117550139650415
Tablet,4507,1587,16.917927518214285,46,384,46.6667790201291
Tablet,4228,1228,5.373891487674891,26,182,37.38633470684527
Desktop Computer,836,3719,17.058537488352304,48,257,35.4233275631603
Desktop Computer,6254,1604,8.721828129652287,48,275,35.02808551755968
Tablet,3019,1209,19.03404832480693,47,80,93.89594884925124
Laptop,3999,839,9.187374474166113,63,350,93.64129986389987
Laptop,3382,4997,11.13927960204213,43,421,17.576288826979525
Laptop,568,4105,12.092801248781184,16,68,3.3861970974884303
Laptop,7646,1734,9.091149872321434,38,25,61.893846228012485
Desktop Computer,8796,2814,8.479996960404543,36,193,42.27950907196122
Tablet,462,3685,19.097875586423527,10,467,53.17099011455686
Laptop,6035,1180,16.873052026751104,26,161,71.60512665770369
Laptop,5287,2174,10.258702035563369,58,57,78.2117007464407
Tablet,1026,3480,5.775039278583185,24,26,99.28171812874287
Mobile Phone,2120,1045,6.95915724966933,42,471,85.26874789619622
Mobile Phone,3039,1610,16.812781849998316,37,93,2.919443730429283
Tablet,8860,456,19.806021635717734,26,511,67.01090815294755
Laptop,7658,1996,7.289283769428671,63,507,43.29198645866425
Desktop Computer,4206,3545,10.00318844437983,7,159,82.60575056409996
Desktop Computer,5179,4252,6.514120843489702,56,380,52.14467032139759
Desktop Computer,4408,2393,17.3533417855275,16,101,13.564804354603277
Desktop Computer,2492,43,19.480979533036148,14,131,82.50052503981382
Tablet,1012,3415,10.477861286846217,25,289,73.97479526706586
Tablet,6475,13,11.009992951188135,64,83,7.340036566004127
Tablet,6956,2768,3.3742649247257166,24,230,94.30531558893833
Tablet,7487,963,16.845083865873743,47,478,75.8976341433456
Laptop,8953,4633,7.622856450709159,4,75,95.15894683345462
Laptop,5095,842,10.348743109379601,25,348,69.87941215538768
Mobile Phone,5106,2248,18.08323701517066,12,106,25.857735330629094
Tablet,7914,3358,15.441838452439312,25,275,60.938335467649985
Mobile Phone,9026,424,15.051326535797484,45,102,42.60672304554384
Tablet,5477,1271,12.200577540375294,47,39,60.20958854814348
Mobile Phone,6813,2468,7.8286578814153716,60,303,75.6433048159288
Laptop,1270,2455,7.5902710994939175,30,499,87.75780744687707
Desktop Computer,4027,3403,4.701240835390244,64,280,22.64557763643541
Desktop Computer,844,1525,17.759990895437006,46,503,3.902231410507606
Laptop,1094,1477,8.051777299665655,27,83,94.82852172849185
Desktop Computer,2201,2325,7.443853606688261,5,38,11.31761046764731
Tablet,5973,4510,13.146247145491488,32,95,91.0554532376118
Desktop Computer,6300,2217,4.4891513710648425,16,48,99.76401315106216
Tablet,4801,1474,14.838250829202352,19,226,74.23326078608878
Desktop Computer,8827,2379,16.732261909616533,41,464,35.53823239829113
Mobile Phone,3193,779,16.860017991497124,2,460,91.18489317359465
Tablet,1168,1744,18.70803472732623,42,339,46.20318420185249
Desktop Computer,4037,2524,16.181184947283274,22,259,80.82753762607668
Laptop,2489,86,11.947524618190775,6,198,6.002651185867136
Laptop,8660,1921,4.764772598141258,12,120,90.03517928526826
Tablet,4882,2346,12.794248150947203,12,80,12.300522286950777
Desktop Computer,2414,2912,18.79434195504709,7,112,86.43781494883667
Mobile Phone,3414,993,7.8679672747381195,37,418,95.56172029662687
Tablet,6917,121,19.15670213943419,19,174,99.04844582716314
Mobile Phone,3271,284,14.754746957559743,29,282,52.458273872585316
Tablet,7865,3051,5.43995661291952,52,460,96.0347519258691
Laptop,5813,3076,4.733482305801919,61,510,6.5731518790728805
Mobile Phone,2124,2128,14.995847880276665,15,489,55.14410813050629
Mobile Phone,8701,3702,6.632265322216906,9,357,64.1103609511184
Tablet,8151,2693,5.761471231942355,2,504,38.97938665820065
Laptop,4330,4693,6.5758043161818645,60,491,69.50548628227789
Mobile Phone,2329,1586,6.312405485953134,3,198,48.70260892375252
Desktop Computer,5803,4016,15.377739260954945,61,145,17.604035965380447
Laptop,1035,3222,4.2849289594515,61,320,50.7234069649257
Laptop,9360,1437,6.104839499682748,62,242,63.7420962112699
Mobile Phone,3659,1814,15.765800926563935,10,97,9.16149696047437
Laptop,161,97,14.315029864065794,8,65,75.76160061112842
Mobile Phone,9623,4244,9.93403325701169,45,158,62.11263279584727
Laptop,3699,175,12.046737282337613,29,310,91.05959390965745
Desktop Computer,4741,388,13.812004822489572,64,444,10.962154147012493
Laptop,3363,4123,11.16263455592523,47,331,66.93684018332905
Laptop,702,1067,19.33934206143776,32,80,97.45493475510646
Tablet,8516,368,8.523112763451774,39,348,71.97396505366252
Desktop Computer,5831,1560,6.316726074098243,31,132,98.59205231251718
Desktop Computer,6924,4905,18.159076993950436,10,153,17.001991905965987
Desktop Computer,6355,2176,7.140827363530241,12,99,18.82719012251123
Laptop,1246,3622,7.5867780671108775,58,146,64.70543052474757
Tablet,7387,1287,13.328475842288626,38,11,21.475960546741145
Desktop Computer,2167,4245,3.803132809937655,1,62,19.06750150926053
Mobile Phone,4840,258,16.995164048682515,34,85,83.31605605846705
Desktop Computer,594,4571,17.66636814825,15,459,40.19277289053724
Desktop Computer,1793,712,6.189783209627503,16,431,71.95887392685856
Tablet,5350,801,13.864274898887057,11,303,39.71050195383804
Laptop,3511,4981,10.359147028067706,35,262,36.923912371885656
Mobile Phone,9292,397,13.337514062810428,25,188,1.0498779613342113
Desktop Computer,8035,922,15.313327198743293,56,490,47.726619941097724
Tablet,771,1671,7.165948720772492,64,272,4.8425302218610415
Mobile Phone,2265,1449,4.774213272826685,39,452,88.00468036706226
Mobile Phone,4012,4992,18.93887181056224,49,396,77.62292144354026
Laptop,1157,822,11.172919484179053,31,438,39.849922228508525
Desktop Computer,611,1101,16.278375747446994,35,121,59.994343634394944
Mobile Phone,1012,3954,14.363204494807263,37,310,52.35006913394006
Desktop Computer,4404,4240,9.524890316675481,11,170,70.50299308802559
Laptop,4702,3636,4.946673517962486,5,58,44.98794584082893
Desktop Computer,1135,629,3.702984421079455,43,412,92.18086436517898
Desktop Computer,3724,4088,18.933364884868702,51,8,37.54776112079901
Mobile Phone,3415,542,10.329228241236365,54,268,44.54079686429158
Mobile Phone,7393,4897,10.680042504417626,49,279,22.717503679115815
Tablet,4077,4093,7.559348064303476,38,252,46.77865600473958
Tablet,5474,270,13.335133195209755,54,150,50.21717541944266
Desktop Computer,3059,964,6.708570504116798,25,443,56.381215717340716
Laptop,4641,2045,18.17465074688888,39,193,93.559422801695
Desktop Computer,5136,2949,11.38067563434198,7,107,15.755005577873959
Mobile Phone,4367,2116,7.084242452388857,46,99,93.60717839615533
Tablet,4895,3065,14.045569894106558,53,232,92.63280608979302
Desktop Computer,8961,2564,8.83653655849263,47,497,9.822490242134286
Laptop,5562,1212,11.818688646267832,52,205,39.20722147403407
Desktop Computer,2061,4456,12.849483129102131,22,501,94.78286134526986
Desktop Computer,2291,2017,14.96995540835704,36,41,0.23757915688229492
Desktop Computer,9303,279,19.46480247873272,27,353,5.571808177841609
Tablet,5217,4133,7.503920093683941,56,114,49.782960177201886
Laptop,181,3836,18.575447194094146,63,291,16.997648545666987
Mobile Phone,1537,2934,19.34792562880086,48,407,84.56441784766552
Desktop Computer,6794,4423,12.935300825227863,40,300,19.445728738722224
Desktop Computer,992,2473,12.072386173341725,46,34,94.99015984413819
Desktop Computer,1204,2941,12.782057171144462,29,498,0.008101152269557321
Tablet,1424,4657,4.934321559481122,37,382,26.824011227902233
Mobile Phone,3179,1539,11.512324389873461,44,361,33.96376126918401
Mobile Phone,5839,1399,18.81535278079436,39,282,18.90691688378353
Laptop,6870,3298,12.69101741613524,56,397,57.184315066440384
Tablet,6436,2044,12.130317574898848,24,329,73.13914685581756
Mobile Phone,1888,2422,7.38725481401074,54,321,20.585297926646383
Laptop,2926,152,6.392492120661256,55,341,75.26362510437568
Mobile Phone,1877,2168,19.655662372161338,40,216,15.459825708651277
Desktop Computer,7990,2513,13.759291185018323,14,256,14.03788730760862
Laptop,2127,2613,3.984137706744921,1,290,58.14901191445795
Mobile Phone,4018,4624,11.849835706490053,53,353,0.8769793169175033
Mobile Phone,4899,232,17.009165504847314,34,336,53.493933548630956
Tablet,9578,4106,15.77227907845905,24,94,64.2276419782685
Mobile Phone,7853,1671,8.060656211704545,26,280,27.64211822719439
Desktop Computer,8405,4664,10.032796789453135,25,371,95.03260168906199
Tablet,3593,3184,15.342459645803531,17,38,32.18410575608348
Laptop,4977,2052,16.271860961930113,55,472,64.09295183577562
Laptop,915,4410,8.505920274660077,59,201,53.233835545825336
Desktop Computer,727,3612,15.03840701493829,3,170,87.03192247867658
Tablet,8534,4514,17.968774937102662,11,406,77.68264558087388
Tablet,957,3439,5.9477107004069545,31,361,35.26589607511112
Laptop,521,1608,7.535681517857164,4,308,21.065369130553393
Tablet,6735,2970,6.651810191331057,41,60,44.797057389877835
Desktop Computer,9713,2185,3.5607788396852755,49,498,39.51902070996201
Tablet,5158,3603,19.295764219061606,47,458,34.23804560123277
Desktop Computer,127,1994,6.100955619918076,43,302,9.553091713418649
Desktop Computer,4302,3210,15.368038714692565,52,498,4.292125023442361
Mobile Phone,7958,3296,19.147861487074646,34,203,58.88309828694057
Desktop Computer,7255,2878,5.333138948219623,4,108,24.366439991290058
Laptop,2244,4137,8.001183174054116,44,506,71.57817856436978
Desktop Computer,1029,848,4.979411005098596,13,426,91.18511001340718
